add-none,2,100,400,49000,122,0
add-none,2,1000,4000,79000,19,0
add-none,2,10000,40000,429000,10,2083
add-none,2,100000,400000,2190000,5,3722
add-none,4,100,800,111000,138,0
add-none,4,1000,8000,109000,13,39
add-none,4,10000,80000,903000,11,-14133
add-none,4,100000,800000,10044000,12,-16278
add-none,8,100,1600,143000,89,0
add-none,8,1000,16000,271000,16,782
add-none,8,10000,160000,1982000,12,-4819
add-none,8,100000,1600000,20709000,12,-16095
add-none,12,100,2400,261000,108,42
add-none,12,1000,24000,292000,12,810
add-none,12,10000,240000,3239000,13,-2420
add-none,12,100000,2400000,29655000,12,-72663
add-yield-none,2,10,40,321000,8025,0
add-yield-none,2,20,80,84000,1050,0
add-yield-none,2,40,160,135000,843,4
add-yield-none,2,80,320,168000,525,-37
add-yield-none,2,100,400,157000,392,0
add-yield-none,2,1000,4000,979000,244,9
add-yield-none,2,10000,40000,7529000,188,-69
add-yield-none,4,10,80,93000,1162,0
add-yield-none,4,20,160,115000,718,0
add-yield-none,4,40,320,137000,428,2
add-yield-none,4,80,640,166000,259,5
add-yield-none,4,100,800,330000,412,-8
add-yield-none,4,1000,8000,962000,120,12
add-yield-none,4,10000,80000,7862000,98,-703
add-yield-none,8,10,160,279000,1743,6
add-yield-none,8,20,320,418000,1306,10
add-yield-none,8,40,640,939000,1467,-2
add-yield-none,8,80,1280,1251000,977,0
add-yield-none,8,100,1600,1738000,1086,15
add-yield-none,8,1000,16000,18583000,1161,-27
add-yield-none,8,10000,160000,52260000,326,-300
add-yield-none,12,10,240,301000,1254,16
add-yield-none,12,20,480,402000,837,26
add-yield-none,12,40,960,806000,839,22
add-yield-none,12,80,1920,1242000,646,52
add-yield-none,12,100,2400,1345000,560,50
add-yield-none,12,1000,24000,13849000,577,33
add-yield-none,12,10000,240000,-869877000,-3624,-22
add-yield-none,2,100,400,150000,375,0
add-none,2,100,400,87000,217,0
add-yield-none,2,1000,4000,684000,171,0
add-none,2,1000,4000,96000,24,923
add-yield-none,2,10000,40000,5973000,149,-22
add-none,2,10000,40000,341000,8,0
add-yield-none,2,100000,400000,56192000,140,-696
add-none,2,100000,400000,3959000,9,3129
add-yield-none,8,100,1600,261000,163,-13
add-none,8,100,1600,181000,113,0
add-yield-none,8,1000,16000,1056000,66,-12
add-none,8,1000,16000,225000,14,1036
add-yield-none,8,10000,160000,6483000,40,-165
add-none,8,10000,160000,1884000,11,-2093
add-yield-none,8,100000,1600000,88288000,55,-5401
add-none,8,100000,1600000,20844000,13,-22790
add-none,1,100,200,49000,245,0
add-none,1,1000,2000,63000,31,0
add-none,1,10000,20000,129000,6,0
add-none,1,100000,200000,801000,4,0
add-yield-m,2,10000,40000,30120000,753,0
add-yield-c,2,10000,40000,12123000,303,0
add-yield-s,2,1000,4000,1439000,359,0
add-yield-m,4,10000,80000,318311000,3978,0
add-yield-c,4,10000,80000,26934000,336,0
add-yield-s,4,1000,8000,3735000,466,0
add-yield-m,8,10000,160000,-570246000,-3564,0
add-yield-c,8,10000,160000,61531000,384,0
add-yield-s,8,1000,16000,41731000,2608,0
add-yield-m,12,10000,240000,20536000,85,0
add-yield-c,12,10000,240000,-163403000,-680,0
add-yield-s,12,1000,24000,-623000,-25,0
add-none,1,10000,20000,149000,7,0
add-m,1,10000,20000,432000,21,0
add-c,1,10000,20000,269000,13,0
add-s,1,10000,20000,258000,12,0
add-none,2,10000,40000,429000,10,797
add-m,2,10000,40000,2155000,53,0
add-c,2,10000,40000,2352000,58,0
add-s,2,10000,40000,2533000,63,0
add-none,4,10000,80000,862000,10,4366
add-m,4,10000,80000,3731000,46,0
add-c,4,10000,80000,6322000,79,0
add-s,4,10000,80000,12851000,160,0
add-none,8,10000,160000,2018000,12,-1454
add-m,8,10000,160000,8809000,55,0
add-c,8,10000,160000,18679000,116,0
add-s,8,10000,160000,45221000,282,0
add-none,12,10000,240000,2930000,12,2775
add-m,12,10000,240000,15484000,64,0
add-c,12,10000,240000,35730000,148,0
add-s,12,10000,240000,110187000,459,0
